1,sip:10.10.80.11:5060,vn=15,2,GSM
1,sip:10.10.80.13:5060,vn=21,2,GSM
0,sip:10.10.80.15:5060,vn=23,2,GSM
1,sip:10.10.80.17:5060,vn=31,2,GSM
1,sip:10.10.80.19:5060,vn=31,2,GSM
1,sip:10.10.80.21:5060,vn=31,2,GSM
1,sip:10.10.80.23:5060,vn=20,2,GSM
1,sip:10.10.80.160:5060,vn=8,2,GSM
1,sip:10.10.80.161:5060,vn=28,2,GSM
1,sip:10.10.80.171:5060,vn=16,2,GSM
1,sip:10.10.80.172:5060,vn=14,2,GSM
1,sip:10.10.80.173:5060,vn=12,2,GSM
1,sip:10.10.80.174:5060,vn=26,2,GSM
1,sip:10.10.80.175:5060,vn=22,2,GSM
1,sip:10.10.80.176:5060,vn=29,2,GSM
1,sip:10.10.80.177:5060,vn=29,2,GSM
1,sip:10.10.80.178:5060,vn=28,2,GSM
1,sip:10.10.80.179:5060,vn=30,2,GSM
1,sip:10.10.80.180:5060,vn=30,2,GSM
1,sip:10.30.170.53:5060,vn=32,2,GSM
1,sip:10.30.170.63:5060,vn=32,2,GSM
1,sip:10.30.170.25:5060,vn=32,2,GSM
1,sip:10.30.170.27:5060,vn=32,2,GSM
1,sip:10.30.170.33:5060,vn=32,2,GSM
1,sip:10.30.170.55:5060,vn=32,2,GSM
0,sip:10.10.94.105:5060,vn=450,0,TRUNK_VINA
